Il y a-t-il des formations dans le domaine de l'informatique,0
Est-ce qu'il y a une formation semblable à celle sur la robotique pour l'enseignement,0
Avez-vous des formations sur le logiciel Excel pour les entreprises,0
Y'a des formations sur la programmation pour les demandeurs d'emplois,0
Donnez vous des formations dans le secteur robotique,0
"J'ai 41 ans, je suis demandeur d'emploi et je recherche une formation sur l'informatique",0
Je gère une entreprise et je cherche une formation sur le développement pour mes employés,0
Je suis enseignant à l'école et je viens pour trouver une formation sur le soudage pour mes élèves,0
"Je m'appelle Nicolas, j'ai 23 ans et je viens me renseigner pour une formation sur l'informatique",0
Je suis à la recherche de formation dans le développement informatique,0
Avez vous quelque chose dans le dev Java ?,0
Je suis intéressé par tout ce qui touche aux micro technologies. Avez vous quelque chose à me proposer dans ce domain ?,0
Je veux trouver un métier se rapportant aux techniques d'usinage,0
"Bonjour, je suis demandeur d'emploi et je voudrais travailler dans la maintenance",0
"Bonjour, je suis à la recherche d'une formation en eco mobility",0
"Je suis sans emploi, serais possible de me conseiller une formation dans le domaine des matériaux",0
Est ce que Technifutur propose des formations sur les techniques industrielles pour les entreprises ?,0
Proposez vous des formations en aéronautique ?,0
Je cherche une formation en robotique,0
Je voudrais acquérir des compétences dans le domaine des énergies,0
Formez vous des personnes pour qu'ils deviennent frigoristes ?,0
"Salut, je représente une entreprise et je voudrais me renseigner sur des formations dans le domaine de la robotique",0
Je voudrais savoir si vous avez des formations intéressantes en informatique,0
"Bonjour, j'aimerais de reconvertir dans un autre domaine comme la robotique, avez vous quelque chose à me proposer ?",0
J'aimerais avoir des propositions de formations pour devenir soudeur,0
Pouvez vous me conseiller une formation en tant que dev ?,0
Est t il possible d'avoir des formations avec les mricros technologies quand on est demandeur d'emploi ?,0
J'aimerais me renseigner à propos de formations sur les techniques d'usinage mais je n'ai rien trouvé sur votre site internet,0
"Je suis en quête d'une formation chez Technifutur, dans la maintenance de préférence",0
"Je suis déjà expérimenté avec le logicel Excel mais je voudrais me perfectionner, avez vous des formations ?",0
"J'aimerais avoir des compétences supplémentaire en eco mobility, est ce possible ici ?",0
Serait ce possible d'avoir une formation sur les matériaux chez Technifutur ?,0
"J'ai entendu dire qu'il y avait pas mal de formations chez Technifutur, j'aimerais en trouver sur les techniques industrielles ",0
"Je voudrais me réorienter dans le secteur aéronautique, as tu des trucs à me proposer ?",0
J'aimerais qu'on m'aide à trouver une formation dans le secteur de la robotique,0
Je serais intéressé par une formation en rapport avec les énergies,0
Est ce que tu peux me donner des formations de frigoristes ?,0
Tu sais me passer dans ton catalogue des trucs sur l'usinage,0
Je suis venu ici pour chercher une formation dans n'importe quel secteur,0
